,source,target,lang,translation_direction
12,"The band's management company, HK Management Inc., gave no initial reason when they canceled on September 20, but blamed logistical reasons by the next day.","বেন্দগী মেনেজমেন্ত কম্পেনী, HK মেনেজেমেন্ত ইঙ্কনা সেপ্তেম্বর 20দা মখোয়গী থৌরম তোকপদা অহানবদা মরম অমত্তা পীখিদে অদুবু মথংগী নুমিত্তা লোজিতিক্সকী ওইবা হীরমদা মরাল শীখি।",mni,enxx
13,The proposed amendment already passed both houses in 2011.,প্রোপোস তৌরক্লিবা এমেন্দমেন্ত অদু 2011দা হাউজ অনিমক্তা মাংজৌননা পাস তৌখি।,mni,enxx
14,"In 1977, Dr. Damadian completed the construction of the first “whole-body” MRI scanner, which he called the ”Indomitable”.","দাঃ দেমাদিয়ন্না ইং 1977দা ""অপুনবা হকচাং""গী খ্বাইদগী অহানবা MRI স্কেন্নর শাবা লোইশিনখি অমসুং মসিবু মহাক্না ""ইন্দোমিতেবল"" হায়না কৌখি।",mni,enxx
15,"The major organ of the circulatory system is the heart, which pumps the blood.",ঈগী খোংজেলগী সীস্তেমগী মরু ওইবা কয়াৎ অসি ঈ পীথোক পীশিন তৌরিবা থমোয় অসিনি।,mni,enxx
16,"With fewer REMs per night, this state in which you experience actual sleep and your body recovers becomes infrequent enough to become a problem.","অহিং অমদা REMsকী চাং য়ামদ্রবদি, নহাকনা তশেংনা তুম্না-তুম্না নহাক্কী হকচাংনা গ্যান লাকপা থেংনরিবা ফিবম অদু তোইনা থোক্লক্লরোই অমসুং অৱাবা অমা ওইররোই।",mni,enxx
17,Hangeul is the only purposely invented alphabet in popular daily use. The alphabet was invented in 1444 during the reign of King Sejong (1418 – 1450)., হংগ্যুল হায়বসি পান্দম অমগী মখাদা পুথোকখিবা মমিং লৈবা নুংতিগী শীজিন্নবা ময়েকশিংনি।ময়েক অসি 1444দা নিংথৌ সেজোংগী (1418-1450) মতমদা পুথোকখি।,mni,enxx
18,Most televisions are made in a way to please the general public.,তেলিভিজন অয়াম্বসি মীয়াম পেলহন্নবা মওংদা শাবনি।,mni,enxx
19,He would need to be judged differently if he had lost his car keys and it was his own car that he was trying to break into.,"মহাক্না মহাক্কী কারগী শো মাঙখিবা ওইরিবা অমসুং মহাক্না থুগায়দুনা চঙনবা হোৎনরিবা অসি মশামক্কী কার ওইরবদি, মহাক্কী থৌওং অসি তোঙানবা মওংদা ঐখোয়না লৌগনি।",mni,enxx
20,Fred currently has winds of 105 miles per hour (165 km/h) and is moving towards the northwest.,ফ্রেদনা হৌজিক-হৌজিক পুংদা মাইল 105 (165 km/h)কী চাংদা শিৎপা নুংশিৎ য়াওরি অমসুং অৱাং-নোংচুপ তম্না চৎলি।,mni,enxx
21,"They begin as funnels descending from storm clouds, and become ""tornadoes"" when they touch the ground.","মখোয়না স্তোর্ম ক্লাউদতগী তাথরক্তুনা ফন্নেল অমগুম্না হৌই অমসুং মসিনা লৈমায়দা থেংবা মতমদা ""তোর্নাদো"" ওইরকই।",mni,enxx
22,"On night sleeper trains, passports may be collected by the conductor so that you do not have your sleep interrupted.",নাইৎ স্লীপর ত্রেনশিংদদি কন্দক্তর অদুনা পাসপোর্তশিং অদু অদোম্না তুম্বা কায়দনবা মাঙজৌননা খোমগৎখিবা য়াই।,mni,enxx
23,Cuban citizens who are US green card holders should visit an Ecuadorian Consulate to obtain an exemption to this requirement.,US গ্রীন কার্দ পাইবা ক্যুবন সিতিজেনশিংনা মসিগী মথৌতাবা অসি লৌদনবা ইক্বেদোরিয়ন কন্সুলেত অমগী মনাক্তা চৎকদবনি।,mni,enxx
24,A contagious disease is a disease which is easily transmitted by being in the vicinity of an infected person.,হকথেংননা থেংনবদগী লৌনগনবা লাইনা হায়বসি অনাবা মীওই অমগী মনাক্তা লৈরুবদগী লায়না শন্দোকপা লাইনানি।,mni,enxx
25,"Four years later a patent was granted, which was the world's first patent issued in the field of MRI.","চহি মরিগী মতুংদা, পেতেন্ত অমা পীখি অমসুং মসিনা MRIগী মতাংদা পীবা খ্বাইদগী অহানবা পেতেন্ত ওইখি।",mni,enxx
26,"By early today, winds were around 83 km/h, and it was expect to keep weakening.","ঙসি অঙনবদা নুংশিৎ অদু 83 km/রোমগী চাংদা শিৎখি, অমসুং মসি তপথরকপা য়াই হায়না পান্নখি।",mni,enxx
27,"There is a surcharge for having more than 2 passengers, so this option might be more expensive than necessary.","পেসেঞ্জর 2 হেন্না তোংবগী অহেনবা ভরা লৈ, মরম অদুনা মসিগী থৌওং অসি তঙাই ফদবদগী হেদোক্লগা অতাঙবা ওই।",mni,enxx
28,"There are a limited number permits reserved for walk-in requests available on a first come, first served basis.",ৱাল্ক-ইন রিক্বেস্তকী ওইনা অহানবা লাকপদা অহানবা খুদোংচাবা পীবগী মতুং ইন্না অকক্নবা পর্মিৎ মশিং লৈ।,mni,enxx
29,The atom can be considered to be one of the fundamental building blocks of all matter.,এতম হায়বসি পোৎ খুদিংমকপু শাগৎপদা চংবা খ্বাইদগী মরু ওইবা মচংশিংগী মনুংদা অমনি হায়না লৌনৈ।,mni,enxx
30,"Arrows from their deadly crossbows could penetrate the armor of rival soldiers. About 1000 B.C., the Assyrians introduced the first cavalry.","মখোয়গী শাথিরবা ক্রোসবোশিংদগী থোক্লকপা তেনশিংনা য়েক্নবা লান্মীশিংগী আর্মরদা ফাউদুনা চৎপা ঙম্মী।1000 B.C.গী অদুৱাইদা, এসীরিয়নশিংনা অহানবা শগোল লান্মী হৌদোকখি।",mni,enxx
31,"It is assigned to the U.S. Navy’s Seventh Fleet and based in Sasebo, Nagasaki in Japan.",মসি U.S. নেভীগী সেবেন্থ ফ্লীত্তা এসাইন তৌখি অমসুং জপানগী নাগাসকিগী সাসেবোদা বেজ তৌবনি।,mni,enxx
32,"If you look at living things under a microscope, you will see that they are made of small squares or balls.","অদোম্না অহিংবা পোৎলম অমবু মাইক্রোস্কোপ শিজিন্নদুনা য়েংবদা, মখোয় অসি অপিকপা স্ক্বার নত্ত্রগা মতুম তাবা পোৎলমশিংনা শাবনি হায়বা উবা ঙমগনি।",mni,enxx
33,"It was followed by the Istanbul State Symphony Orchestra, a Janissary band, and the singers Fatih Erkoç and Müslüm Gürses.","মসিগী মথংদা ইস্তানবুল স্তেৎ সীম্ফোনী ওর্কেস্ত্রা, জেনিসেরী বেন্দ অমা, অমসুং ফাতী এরকোক্কী শৈসকপশিং অমসুং মুস্লম গর্সেস লৈখি।",mni,enxx
34,However in 991 Ethelred was faced with a Viking fleet larger than any since Guthrum's a century earlier.,অদুবু 991দা চহি চাম্মগী মমাংগী গুথ্রুমগীদগী হেন্না চাউবা ভাইকিং ফ্লীত অমগা ইথেলরেদনা থেংনখি।,mni,enxx
35,The jail became notorious after prisoner abuse was discovered there after US forces took over.,জেল অসি US লান্মীনা লৌশিল্লবা মতুংদা ফাদোকশিংদা ওৎপা-নৈবা তৌই হায়বা খঙলক্লবা মতুংদা মমিং চৎখি।,mni,enxx
36,Animal Liberation and the Royal Society for the Prevention of Cruelty to Animals (RSPCA) are again calling for the mandatory installation of CCTV cameras in all Australian abattoirs.,এনিমেল লিবরেসন অমসুং দি রোএল সোসাইতী ফোর দি প্রিভেনসন ওফ ক্রুএলতী তু এনিমেলস (RSPCA)না ওস্ত্রেলিয়াগী শা হাৎফম পুম্নমক্তা শোইদনমক্কী CCTV কেমেরাশিং পান্ননবা অমুক হন্না হায়রি।,mni,enxx
37,"At 11:20, the police asked the protesters to move back on to the pavement, stating that they needed to balance the right to protest with the traffic building up.",পুলিসনা পুং 11:20দা ইরাং হৌরিবা মীওইশিংদা ত্রাফিক চিনখৎলক্লিবা অমসুং মখোয়গী ইরাং হৌবগী হক্কী খল ঙাকপগী তঙাই ফদবা লৈ হায়দুনা খোঙচৎফম লম্বীদা চৎখৎনবা হায়খি।,mni,enxx
38,As the ability to obtain knowledge and to learn changed in such a way as mentioned above the base rate at which knowledge was obtained changed.,ৱাখল লৌশিং তানশিনবা অমসুং হৈজিনবদা মথক্তা পল্লিবা অসিগুম্না অহোংবা লাক্লবদি ৱাখল লৌশিং লৌশিনবা ঙম্বগী বেজ রেত অদুদসু অহোংবা লৈরম্লগনি।,mni,enxx
39,"Over multiple centuries, the Roman empire led to great gains in the field of medicine and formed much of the knowledge we know today.","চহিচা কয়া অমগী মতুংদা, রোমান লৈবাক অসি হিদাক লাংথক অমসুং ঙসি ঐখোয়না খংলিবা ৱাখল-লৌশিংশিং অসি অয়াম্বনা পাক চাওনা খংবা উবা ফংলকখি।",mni,enxx
40,"While listening to individuals share their individual, family, and organizational stories, we gained valuable insight into the past and some of the personalities who influenced for good or ill the culture of the organization.","ঐখোয়না মীওইশিংনা মখোয় মশা, ইমুং-মনুং অমসুং লুপকী ৱারীশিং লীবদা তাবগা লোয়ননা মখোয়গী হৌখ্রবা মতমশিং অমসুং মখোয়গী লুপকী চৎনবীগী অফবা নত্ত্রগা ফত্তবা ওইনবা ইথিল পীখিবা মীওই খরগী মরমদা কান্নরবা ৱাফম কয়া খঙবা ঙমখি।",mni,enxx
41,"Occasional specialist air tours go inland, for mountaineering or to reach the Pole, which has a large base.",হৈ শিংলবা নোংথক্কী তুর খক্তনা মরক-মরক্তা অচৌবা বেজ লৈবা মনুং হঞ্জিনবা মফমদা চিং কাবা নত্ত্রগা পোলদা য়ৌনবা চৎলি।,mni,enxx
42,"Coffee is one of the world's most traded commodities, and you can probably find many types in your home region.","কোফী হায়বসি মালেমদা খ্বাইদগী লল্লোন ইতীক তৌনবা পোৎশক অমনি, অমসুং অদোম্না অদোমগী লৈফম ওইরিবা লমদুদসু মখল কয়া অমা ফংগনি।",mni,enxx
43,"Lead researchers say this may bring early detection of cancer, tuberculosis, HIV and malaria to patients in low-income countries, where the survival rates for illnesses such as breast cancer can be half those of richer countries.","ইনাক খুনবা লৈবাকশিংগা চাংদম্নবদা ব্রেস্ত কেন্সরগুম্বা লাইনাদগী কনবা ঙম্বগী চাংনা তংখায় ওইদুনা চাগা নেম্বা লৈবাকশিংগী অনাবশিংদা কেন্সর, ত্যুবর্কুলোসিস, HIV অমসুং মেলেরিয়াবু মসিনা ঙন্না খঙদোকপা য়াহনগনি হায়না মকোক থোংবা রিসর্চরশিংনা হায়রি।",mni,enxx
44,These telescopes used a combination of two lenses to make distant objects appear both nearer and larger.,হায়রিবা তেলেস্কোপশিং অসি অরাপ্পদা লৈবা পোৎশকশিংবু হেন্না নক্না অমসুং চাওথোক্না উনবগীদমক লেন্স অনিগী অপুনবা অমা শীজিন্নখি।,mni,enxx
45,"The man suspected of detonating the bomb was detained, after sustaining injuries from the blast.",বোম্ব অদুবু পোখাইহনখিবনি হায়না চিংনরিবা নুপা অদু বোম্ব পোখাইরবা মতুংদা শোকপদগী ফাখি।,mni,enxx
46,"The International Olympic Committee voted to include the sports at its executive board meeting in Berlin today. Rugby, specifically rugby union, and golf were selected over five other sports to be considered to participate in the Olympics.","ঙসি বর্লিন্দা পাঙথোকখিবা একজিক্যুতিব বোর্দ মীতিংদা মশান্নশিং অসি য়াওহন্নবা ইন্তরনেস্নেল ওলিম্পিক কম্মিতীনা ভোৎ থাদখি।রগবী, অখন্ননা রগবী য়ুনিয়ন অমসুং গোল্ফ অসি ওলিম্পিক্সতা শরুক য়াহন্নবা অতোপ্পা মশান্না মঙাবু মাইথীবা পীরম্লগা খনগৎখি।",mni,enxx
47,"It has the same molecular structure whether it is a gas, liquid, or solid.","মসিনা গ্যাস, মহি নত্ত্রগা মপং ওইরবসু, চপ মান্নবা অপুনবা মোলিক্যুলগী শক্তম য়াওই।",mni,enxx
48,"The concept was that all European nations had to seek to prevent one nation from becoming powerful, and thus national governments often changed their alliances in order to maintain the balance.","ৱাখল্লোন অসিনা তাক্লিবসি য়ুরোপিয়ন লৈবাক খুদিংমক্না লৈবাক অমনা হেন্না শক্তি লৈরকপা থিংনবা হোৎনৈ, অমসুং মসিগী মরম অসিনা লৈবাক অদুগী লৈঙাক্না খল অসিবু কায়দনবগীদমক মখোয়গী এলাইশিং অদু তোইনা-তোইনা হোংই।",mni,enxx
49,"Typical for the period, Kirby Muxloe Castle is more of a fortified house than a true castle.",মতমদুগী চৎনবী ওইনা কির্বী মক্সলো লানবন অসি তশেংবা লানবন অমা ওইবদগীদি লানবন ওইনা তৌবা য়ুম অমা ওই।,mni,enxx
50,"Because calls are routed over the Internet, you do not need to use a phone company located where you live or where you travel.","কোলশিং অসি ইন্তর্নেত্তা রুত তৌবনিনা, অদোম্না লৈরিবা নত্ত্রগা চৎলিবা মফমদা লৈবা ফোন কম্পেনী অমা শিজিন্নবগী মথৌ তাদে।",mni,enxx
51,"Maybe one day, your great grandchildren will be standing atop an alien world wondering about their ancient ancestors?",অদোমগী চারোনগী ইশুশিংনা অতোপ্পা মালেম অমদা লৈদুনা মখোয়গী মপা মপুশিংগী মতাংদা নোংমদি খনবগী ওইথোকপা লৈবসু য়াই?,mni,enxx
52,They looked like rooms. He was the first person to observe dead cells,মখোয়শিং অসি কা মাল্লি।মহাক অসি অশিবা সেলবু ইহান হান্না উখিবা মীওইনি।,mni,enxx
53,"Its frequent portrayal in music, films, literature and popular culture has helped make the city and its landmarks known throughout the world.","মসিবু ঈশৈ-নোংমাই, ফিল্মশিং, সহিত্যদা তোয়না মশক উৎপা অমসুং মীয়াম্না পাম্নবা চৎন-লোনচৎনা সহর অমসুং মসিগী লেন্দমার্কশিং অসি মালেম পুম্বদা মশক তাকপদা মতেং পাংলি।",mni,enxx
54,"""Apart from the fever and a sore throat, I feel well and in good shape to carry out my work by telecommuting.",লাইহৌ তৌবা অমসুং খনাও নাবা নত্তনা ঐহাক থোইদোকপা তৌদ্রে অমসুং তেলিকম্ম্যুতিংগী খুত্থাংদা ঐহাক্কী থবক মখা চত্থনবা শেম শারে।,mni,enxx
55,"Carrying for others - Never let your bags out of your sight, especially when you are crossing international borders.","অতোপ্পশিংগী পুবীবা - অদোমগী খাউ অদু মীৎনা উবা মফমগী ৱাংমদা লৈহনবীগনু, মরুওইনা অদোম্না ইন্তর্নেসনেল বোর্দর লানবা মতমদা।",mni,enxx
56,"With roots in Barcelona's Running Tours Barcelona and Copenhagen's Running Copenhagen, it was quickly joined by Running Tours Prague based in Prague and others.",বার্সেলোনাগী রন্নিং তুর্স বার্সেলোনা অমসুং কোপেনহাগেনগী রন্নিং কোপেনহাগেনদা হৌদোক্লদুনা অথুবদা প্রেগ অমসুং অতোপ্পা মফমশিংদা লৈরিবা রন্নিং তুর্স প্রেগসু পুনশিনখি।,mni,enxx
57,"Vikings used the Russian waterways to get to the Black Sea and Caspian Sea. Parts of these routes can still be used. Check possible need for special permits, which may be difficult to get.",ভাইকিংশিংনা ব্লেক সী অমসুং কাস্পিয়ন সীদা য়ৌনবগীদমক্তা রসিয়াগী ঈশিংগী লম্বীশিং শিজিন্নরম্মি।লম্বী অসিগী শরুক খরদি হৌজিক ফাওবা শিজিন্নবা য়ারি।ফংবদা লুনা থোকপা অখন্নবা অয়াবা লৌবা য়াবগী ওইথোকপা লৈবশিং য়েংথোকউ।,mni,enxx
58,"As a winner-takes-all state, Florida awarded all fifty of its delegates to Romney, pushing him ahead as the front-runner for the Republican Party nomination.","ৱিন্নর-তেক্স-ওল স্তেৎ ওইবনা, ফ্লোরিদানা মাগী দেলিগেৎ য়াংখৈমক রোমনীদা পীখি, মসিনা মহাকপু রিপব্লিকন পার্তী নোমিনেসনগীদমক ফ্রন্ত-রন্নর ওইনা মাং থাহনখি।",mni,enxx
59,"In summer, especially, you'll need to watch out for mosquitoes if you decide to hike through the rainforest.","কালেনগী মতমদা, মরুওইনা, অদোম্না করিগুম্বা রেইনফোরেস্ত উমংদা চৎলুগে হায়রগদি কাং (মোস্কীতো) লৈবরা হায়বসি হান্না য়েংথোকপা তাই।",mni,enxx
60,Dump trucks were used to block tube entrances and assistance of 80 police were on hand to direct motorists to detours.,দম্প ত্রকশিং শীজিন্নদুনা ত্যুবকী চাংফমশিং অদু থিংজিনখি অমসুং মোতোরিস্তশিং অতোপ্পা লম্বীদা চৎহনখিনবা মনাক্তা পুলিস 80 থমদুনা মতেং লৌখি।,mni,enxx
61,"Since then, China's economic size has grown by 90 times.","মতম অদুদগী, চাইনাগী শেন্মীৎলোনগী পাক-চাউবা অসি শরুক 90 হেনগৎখি।",mni,enxx
62,"Two thirds of Venezuelans who work do so in the service sector, nearly a quarter work in industry and a fifth work in agriculture.","ভেনেজ্বেলাগী অহুম থোকপগী অনিনা শুরিবা থবক অসি সর্ভিস সেক্তরদনি, অদুগা ইন্দস্ত্রীদনা মশুং অমরোম তৌরি অমসুং মঙাগী অমগুম্বনা লৌউশিংউদা তৌই।",mni,enxx
63,Make and carry copies of your policy and your insurer's contact details with you.,অদোমগী পোলিসীশিং অমসুং অদোমগী ইনস্যুর্রগী পাও ফাওননবা অকুপ্পা ৱারোল অদু শেমদোকউ অমসুং মদুগী কোপীশিং অদু অদোমগা লোয়ননা পুবীয়ু।,mni,enxx
64,Each of these nomadic rampages or marches lasts for approximately 17 days.,হায়রিবা কোয়না চৎপগী তাঙ্কক অসি চাওরাক্না নুমিৎ 17নিমুক চংই।,mni,enxx
65,Scientists have discovered landforms littered across the moon's surface called lobate scarps that have apparently resulted from the moon's shrinking very slowly.,সাইন্তিস্তশিংনা থাগী লৈমাই পুম্বদা লোবেত স্কার্পস হায়না কৌবা থা অসি য়াম্না তপ্না চপশিল্লকপদগী মরম ওইরগা শেম্বা ওইরম্বা য়াই হায়না পানরিবা লেন্দফোর্মশিং চাইথোক্তুনা লৈবা থেংনখি।,mni,enxx
66,Turkish Airlines flies to 39 destinations in 30 African countries as of 2014.,তর্কিশ এয়র্লাইন্সনা 2014 ফাওবদা অফ্রিকাগী লৈবাক 30গী পন্থুংফম 39দা পাইরি।,mni,enxx
67,"Antarctica is the coldest place on Earth, and surrounds the South Pole.",এন্তার্ক্তিকা অসি মালেমগী খ্বাইদগী ইঙবা লম্নি অমসুং সাউথ পোলনা কোইশিল্লি।,mni,enxx
68,The water molecules make an invisible skin on the water’s surface that allows things like the needle to float on top of the water.,ঈশিংগী মোলিক্যুলশিং অসিনা ঈশিংগী ইমাইদা য়েত্তুমগুম্বা তাউহল্লিবা মীৎনা উদবা লৈরোল অমা শেম্মি।,mni,enxx
69,"For a day hike along an easy trail little preparations are needed, and any moderately fit person can enjoy them.","অরাইবা ত্রেলদা চৎপা দে হাইকিংদদি য়াম্না কন্না শেম শাদ্রবসু য়াই, অমসুং য়াইমরপ ওইনা মশা মউ ফবা মীওই অমহেক্তনা চৎপা য়াগনি।",mni,enxx
70,This might require filling out a form with the local police or a visit to the immigration offices.,মসিদা ফোর্ম অমা লোকেল পুলিস নৎত্রগা ইমিগ্রেসন ওফিসতা চৎতুনা মেনবা চঙবা য়াই।,mni,enxx
71,"After the fire, the fortress was preserved and protected, remaining to be one of Bhutan's most sensational attractions.","মৈ চাকখিবদুগী মতুংদা, অচৌবা লানবন অদু ঙাকশেন্দুনা চেকশিন্না থমখিদুনা ভুতানগী খ্বাইদগী পুক্নিং হুনিংঙাই ওইরবা মফম অমা ওইহৌরি।",mni,enxx
72,The search had been hampered by the same bad weather that had caused the aborted landing.,থীবা হুম্বগী থবক অদু লেন্দিং তৌবদা অপনবা পীখিবা চপ মান্নবা নোংজু নুংশাগী ফত্তবা ফীভম অদুনা মরম ওইরগা অপনবা পীখি।,mni,enxx
73,If traveling in a developing country for the first time – or in a new part of the world – don't underestimate the potential culture shock.,করিগুম্বা চাউখৎলক্লিবা লৈবাক নৎত্রগা মালেমগী অনৌবা শরুক অমদা ইহান হানবা ওইনা চৎপা মতমদা - লাক্কদবা কলচর শোক অদু তরাইনা লৌবীগনু।,mni,enxx
74,"Many people dream of the day when humans can travel to another star and explore other worlds, some people wonder what's out there some belive that aliens or other life may live on another plant.","মীওইবনা অতোপ্পা থৱানমিচাকশিংদা চত্তুনা অতোপ্পা মালেম্বু খঙদোকপা ঙম্বা নুমিৎকী মতাংদা মীওই কয়ানা মঙ মঙলম্মি, মীওই খরনা অহাঙবশিং অসিদা করি লৈরমগনি অমসুং এলিয়ন নত্ত্রগা অতোপ্পা পুন্সি মখল কয়া অতোপ্পা গ্রহশিংদা লৈরম্বা য়াই হায়না থাজনরম্মি।",mni,enxx
75,"There were no heavy traffic delays reported on the beltway, the city's alternate route.",সহর অদুগী অতোপ্পা লম্বেল ওইরিবা বেল্তৱেদা চাউনা ত্রাফিক্তা থেংথহনখিবগী পাউদম লৈখিদে।,mni,enxx
76,England had experienced a long period of peace after the reconquest of the Danelaw.,ইংলেন্দনা দেনলোবু অমুক হন্না লৌশিল্লবা মতুংদা শান্তি ওইনা মতম শাংনা লৈখি।,mni,enxx
77,Anyone interested in seeing evidence of the damage to the mummy done during attempts to remove it from the coffin will be disappointed as only the head and shoulders are visible.,কু মনুংদগী মম্মি অসি লৌথোক্নবা হোৎনবদা অকাই অতোই থোকখিবগী খুদমশিং অদু য়েংনীংলবদি মদুদা মকোক অমসুং লেংজুমদমক উবা ফংবনা অদোম নীংহন্নবা ফাওগনি।,mni,enxx
78,"Drink alcoholic drinks with moderation. Alcohol affects everyone differently, and knowing your limit is very important.","য়াইমরপ ওইনা অলকোহোলিক ওইবা থক্নবশিং থকপীয়ু।য়ুগী ময়াই অসি মীওই অমগা অমগা মান্নদে, অমসুং অদোমগী চাং খঙজবা হায়বসি য়াম্না মরুওই।",mni,enxx
79,"This letter must be legalized by the Ecuadorian Ministry of Foreign Affairs, and comply with certain requirements.",মসিগী লেত্তর অসি ইক্বেদোরিয়ন মিনিস্ত্রী ওফ ফোরেন এফিয়র্সনা লিগেলাইজ তৌরবা অমসুং করিগুম্বা মথৌতাবা খরা কমপ্লাই তৌরবা ওইগদবনি।,mni,enxx
80,Personal VPN (virtual private network) providers are an excellent way of circumventing both political censorship and commercial IP-geofiltering.,পর্সনেল VPN (ভর্চুএল প্রাইভেত নেতৱর্ক) প্রোভাইদরশিং অসি পোলিতিকেল সেন্সর্শিপ অমসুং কম্মর্সিএল IP জিও-ফিলতরিং অনিমক কোইথোক্তুনা চৎপগী য়াম্না চুনবা পাম্বৈনি।,mni,enxx
81,He had 2 goals and 2 assists in Washington's 5-3 win over the Atlanta Thrashers.,মহাক্না ৱাশিংতন্না এতলান্তা থ্রাশরগী মাইয়োক্তা 5-3দা থোইখিবা অদুদা গোল 2 চনখি অমসুং এসিস্ত 2 তৌখি।,mni,enxx
82,"Around the 15th century, northern Estonia was under great cultural influence of Germany.","15 শুবা চহি চাদা, অৱাংথংবা ইস্তোনিয়া অসি জর্মনীগী নাৎকী অকনবা ইথিলগী মখাদা লৈরম্মী।",mni,enxx
83,Those participating in regular activity required more support in terms of negative perception of pain distinguishing the differences of chronic pain and discomfort feel from normal physical movement.,চাং নাইনা পাংথোকপা থৌরমদা শরুক য়ারিবশিং অসিদা তুং-কোইবা অনাবা অমসুং ইচম চম্বা লেংথোক-লেংশিন তৌবদা নাবা ফাওবা হায়রিবা অনাবা মখল অনিসিগী মরক্তা খেন্নবদু খংহন্দুনা লান্না খঞ্জিন্দনবগী মতাংদা মতেং পীবা মথৌ তাই।,mni,enxx
84,"When the tenants started sharing what had occurred to them, most of the families involved suddenly realized that Carolyn Wilson of the OHA had stolen their security deposits, and skipped out of town.","য়ুমশিং অসিদা ভরাদা লৈবা মীওইশিংনা মখোয়গী মফমদা থোকখিবা থৌদোকশিং পাউদম্নরকপা মতমদা, থৌদোক অসিগী মনুং চল্লিবা ইমুং অয়াম্বনা OHAগী কেরোলীন ৱিলসন্না মখোয়গী সেক্যুরিতী দিপোজিৎ হুরানখ্রে অমসুং শহর থাদোক্তুনা চেনখ্রে হায়বা খুদক্তা খঙনরকখি।",mni,enxx
