en,mni-Mtei
‘If you promise to come and see us after you are well.’ ‘I will.’,‘ꯀꯔꯤꯒꯨꯝꯕꯥ ꯅꯍꯥꯛꯅꯥ ꯐꯖꯅꯥ ꯂꯩꯔꯕꯥ ꯃꯇꯨꯡꯗꯥ ꯑꯩꯈꯣꯌꯕꯨ ꯎꯅꯕꯥ ꯂꯥꯛꯀꯅꯤ ꯍꯥꯌꯅꯥ ꯋꯥꯁꯀꯄꯤꯔꯕꯗꯤ꯫’ ‘ꯑꯩꯅꯥ ꯇꯧꯒꯅꯤ꯫’
"‘Good night, Laurie!’ ‘Good night, Jo, good night!’","‘ꯑꯐꯕꯥ ꯅꯨꯃꯤꯠ, ꯂꯧꯔꯤ!’ ‘ꯒꯨꯗ ꯅꯥꯏꯠ, ꯖꯣ, ꯒꯨꯗ ꯅꯥꯏꯠ!’꯫"
"When all the afternoon’s adventures had been told, the family",ꯅꯨꯃꯤꯗꯥꯡꯋꯥꯏꯔꯃꯒꯤ ꯑꯦꯗꯚꯦꯟꯆꯔ ꯄꯨꯝꯅꯃꯛ ꯍꯥꯌꯔꯀꯄꯥ ꯃꯇꯃꯗꯥ ꯏꯃꯨꯡ ꯃꯅꯨꯡ
"felt inclined to go visiting in a body, for each found something","ꯍꯀꯆꯥꯡ ꯑꯃꯗꯥ ꯆꯠꯅꯕꯥ ꯆꯠꯄꯥ ꯌꯥꯕꯥ ꯋꯥꯈꯜ ꯂꯥꯀꯈꯤ, ꯈꯨꯗꯤꯡꯃꯛꯀꯤꯗꯃꯛ ꯀꯔꯤꯒꯨꯝꯕꯥ ꯈꯔꯥ ꯐꯪꯈꯤ"
very attractive in the big house on the other side of the hedge,ꯍꯦꯖꯒꯤ ꯑꯇꯣꯞꯄꯥ ꯃꯄꯥꯟꯗꯥ ꯂꯩꯕꯥ ꯑꯆꯧꯕꯥ ꯌꯨꯃꯗꯥ ꯌꯥꯝꯅꯥ ꯄꯨꯛꯅꯤꯡ ꯆꯤꯡꯁꯤꯟꯅꯤꯡꯉꯥꯏ ꯑꯣꯏꯕꯥ
Mrs. March wanted to talk of her father with the old man who,ꯁ꯭ꯔꯤꯃꯇꯤ ꯃꯥꯔꯆꯅꯥ ꯃꯍꯥꯛꯀꯤ ꯃꯄꯥꯒꯤ ꯃꯔꯃꯗꯥ ꯋꯥꯔꯤ ꯁꯥꯅꯕꯥ ꯄꯥꯃꯈꯤ ꯃꯗꯨꯗꯤ ꯑꯍꯜ ꯑꯣꯏꯔꯕꯥ ꯃꯤꯑꯣꯏ ꯑꯗꯨꯒꯥ ꯋꯥꯔꯤ ꯁꯥꯅꯕꯥ ꯄꯥꯃꯈꯤ꯫
"had not forgotten him, Meg longed to walk in the conservatory,","ꯃꯍꯥꯀꯄꯨ ꯀꯥꯑꯣꯊꯣꯀꯈꯤꯗꯕꯥ, ꯃꯦꯒꯅꯥ ꯀꯅꯖꯥꯔꯕꯇꯔꯗꯥ ꯆꯠꯄꯥ ꯄꯥꯃꯈꯤ,"
97,꯹꯷ ꯑꯃꯁꯨꯡ ꯑꯦꯟ.
Beth sighed for the grand piano. and Amy was eager to see the,ꯕꯦꯊꯅꯥ ꯒ꯭ꯔꯦꯟꯗ ꯄꯤꯌꯥꯅꯣꯒꯤꯗꯃꯛ ꯅꯣꯀꯈꯤ꯫
fine pictures and statues,ꯐꯥꯏꯟ ꯄꯤꯛꯆꯔ ꯑꯃꯁꯨꯡ ꯃꯨꯔꯇꯤꯁꯤꯡ .
"‘Mother, why didn’t Mr. Laurence like to have Laurie play?’","‘ꯃꯥ, ꯀꯔꯤꯒꯤ ꯁ꯭ꯔꯤꯃꯥꯟ ꯂꯧꯔꯦꯟꯁꯅꯥ ꯂꯧꯔꯤ ꯁꯥꯟꯅꯕꯥ ꯄꯥꯃꯈꯤꯗ꯭ꯔꯤꯕꯅꯣ?’"
"asked Jo, who was of an inquiring disposition",ꯋꯥꯍꯪ ꯍꯪꯂꯤꯕꯥ ꯗꯤꯁꯄꯖꯤꯁꯟ ꯑꯃꯒꯤ ꯀꯅꯥꯅꯣ ꯍꯥꯌꯅꯥ ꯍꯪꯈꯤ꯫
"‘I am not sure, but I think it was because his son, Laurie’s","‘ꯑꯩꯍꯥꯛ ꯁꯣꯌꯗꯅꯥ ꯍꯥꯌꯒꯅꯤ, ꯑꯗꯨꯕꯨ ꯑꯩꯍꯥꯛꯅꯥ ꯈꯜꯂꯤ ꯃꯗꯨꯗꯤ ꯃꯍꯥꯛꯀꯤ ꯃꯆꯥꯅꯨꯄꯥ, ꯂꯧꯔꯤ’"
"father, married an Italian lady, a musician, which displeased the","ꯃꯄꯥ, ꯏꯇꯥꯂꯤꯒꯤ ꯂꯦꯗꯤ ꯑꯃꯥ, ꯃ꯭ꯌꯨꯖꯤꯁꯤꯌꯥꯟ ꯑꯃꯒꯥ ꯂꯨꯍꯣꯡꯈꯤ, ꯃꯈꯣꯌꯅꯥ ꯅꯨꯡꯉꯥꯏꯇꯕꯥ ꯐꯥꯑꯣꯈꯤ꯫"
"old man, who is very proud. The lady was good and lovely and",ꯌꯥꯝꯅꯥ ꯆꯥꯎꯊꯣꯀꯆꯕꯥ ꯄꯣꯀꯄꯥ ꯑꯍꯜ ꯑꯣꯏꯔꯕꯥ ꯃꯤꯑꯣꯏ꯫
"accomplished, but he did not like her, and never saw his son","ꯃꯄꯨꯡ ꯐꯥꯕꯥ, ꯑꯗꯨꯕꯨ ꯃꯍꯥꯛꯅꯥ ꯃꯍꯥꯀꯄꯨ ꯅꯨꯡꯁꯤꯈꯤꯗꯦ, ꯑꯃꯁꯨꯡ ꯃꯍꯥꯛꯀꯤ ꯃꯆꯥꯅꯨꯄꯥ ꯑꯗꯨ ꯀꯩꯗꯧꯅꯨꯡꯗꯥ ꯎꯈꯤꯗꯦ"
"after he married. They both died when Laurie was a little child,",ꯃꯍꯥꯛꯅꯥ ꯂꯨꯍꯣꯡꯂꯕꯥ ꯃꯇꯨꯡꯗꯥ꯫
"and then his grandfather took him home. I fancy the boy, who",ꯑꯗꯨꯒꯥ ꯃꯗꯨꯒꯤ ꯃꯇꯨꯡꯗꯥ ꯃꯍꯥꯛꯀꯤ ꯃꯄꯥꯅꯥ ꯃꯍꯥꯀꯄꯨ ꯌꯨꯃꯗꯥ ꯄꯨꯈꯤ꯫
"was born in Italy, is not very strong, and the old man is afraid of","ꯏꯇꯥꯂꯤꯗꯥ ꯄꯣꯀꯈꯤ, ꯌꯥꯝꯅꯥ ꯃꯄꯥꯉ꯭ꯒꯜ ꯀꯜꯂꯤ, ꯑꯃꯁꯨꯡ ꯑꯍꯜ ꯑꯣꯏꯔꯕꯥ ꯃꯤꯑꯣꯏ ꯑꯗꯨꯅꯥ ꯀꯤꯔꯤ ."
"losing him, which makes him so careful. Laurie comes naturally","ꯃꯍꯥꯀꯄꯨ ꯃꯥꯡꯈꯤꯕꯥ, ꯃꯗꯨꯅꯥ ꯃꯍꯥꯀꯄꯨ ꯑꯁꯨꯛ ꯌꯥꯝꯅꯥ ꯆꯦꯀꯁꯤꯅꯍꯜꯂꯤ꯫"
"by his love of music, for he is like his mother, and I dare say his","ꯃꯍꯥꯛꯀꯤ ꯃ꯭ꯌꯨꯖꯤꯛ ꯅꯨꯡꯁꯤꯕꯅꯥ ꯃꯔꯝ ꯑꯣꯏꯗꯨꯅꯥ, ꯃꯔꯃꯗꯤ ꯃꯍꯥꯛ ꯃꯃꯥꯒꯥ ꯃꯥꯟꯅꯩ, ꯑꯃꯁꯨꯡ ꯑꯩꯅꯥ ꯃꯍꯥꯛꯀꯤ ."
grandfather fears that he may want to be a musician. At any,ꯗꯥꯗꯥꯅꯥ ꯃꯍꯥꯛ ꯃ꯭ꯌꯨꯖꯤꯁꯤꯌꯥꯟ ꯑꯃꯥ ꯑꯣꯏꯕꯥ ꯄꯥꯝꯂꯕꯁꯨ ꯌꯥꯏ ꯍꯥꯌꯅꯥ ꯂꯥꯡꯇꯛꯅꯩ꯫
"rate, his skill reminds him of the woman he did not like, and so","ꯔꯦꯠ, ꯃꯍꯥꯛꯀꯤ ꯍꯩꯁꯤꯡꯕꯅꯥ ꯃꯍꯥꯀꯄꯨ ꯃꯍꯥꯛꯅꯥ ꯄꯥꯃꯗꯕꯥ ꯅꯨꯄꯤ ꯑꯗꯨ ꯅꯤꯡꯁꯤꯡꯍꯜꯂꯤ, ꯑꯃꯁꯨꯡ ꯃꯔꯝ ꯑꯁꯤꯅꯥ"
he ‘glowered’ as Jo said.’,ꯖꯣꯅꯥ ꯍꯥꯌꯈꯤꯕꯥ ꯑꯗꯨꯒꯨꯝꯅꯥ ꯃꯍꯥꯛ ‘ꯒ꯭ꯂꯨꯋꯔ’ ꯇꯧꯈꯤ꯫’
"‘Dear me, how romantic!’ exclaimed Meg","‘ꯅꯨꯡꯁꯤꯔꯕꯥ, ꯀꯌꯥꯗꯥ ꯔꯣꯃꯥꯟꯇꯤꯛ ꯑꯣꯏꯕꯒꯦ!’ ꯍꯥꯌꯅꯥ ꯃꯦꯒꯅꯥ ꯂꯥꯎꯊꯣꯀꯈꯤ꯫"
"‘How silly!’ said Jo. ‘Let him be a musician if he wants to, and",‘ꯍꯣꯌ ꯁꯤꯂꯤ!’ ꯍꯥꯌꯅꯥ ꯖꯣꯖꯣꯅꯥ ꯍꯥꯌꯔꯀꯏ꯫
"not plague his life out sending him to college, when he hates to","ꯃꯍꯥꯛꯀꯤ ꯄꯨꯟꯁꯤꯕꯨ ꯄ꯭ꯂꯦꯒ ꯇꯧꯔꯣꯏꯗꯕꯅꯤ, ꯃꯍꯥꯀꯄꯨ ꯀꯣꯂꯦꯖꯗꯥ ꯊꯥꯔꯀꯄꯥ ꯃꯇꯃꯗꯥ, ꯃꯍꯥꯛꯅꯥ ."
go.’,ꯆꯠꯂꯨ.'
98,꯹꯸ ꯑꯃꯁꯨꯡ ꯑꯦꯟ.
‘That’s why he has such handsome black eyes and pretty,‘ꯃꯔꯝ ꯑꯗꯨꯅꯥ ꯃꯍꯥꯛꯀꯤ ꯑꯁꯤꯒꯨꯝꯕꯥ ꯐꯖꯔꯕꯥ ꯕ꯭ꯂꯦꯛ ꯑꯥꯏꯁ ꯑꯃꯁꯨꯡ ꯄ꯭ꯔꯤꯇꯤ ꯑꯁꯤ ꯂꯩꯔꯤ .
"manners, I suppose. Italians are always nice,’ said Meg, who","ꯃꯦꯅꯔꯁ, ꯑꯩꯅꯥ ꯈꯜꯂꯤ꯫"
was a little sentimental,ꯈꯔꯥ ꯁꯦꯟꯇꯤꯃꯦꯟꯇꯜ ꯑꯣꯏꯈꯤ ꯫
‘What do you know about his eyes and his manners? You never,‘ꯃꯍꯥꯛꯀꯤ ꯃꯤꯠꯌꯦꯡ ꯑꯃꯁꯨꯡ ꯃꯍꯥꯛꯀꯤ ꯂꯃꯆꯠ-ꯁꯥꯖꯠꯀꯤ ꯃꯔꯃꯗꯥ ꯀꯔꯤ ꯈꯉꯂꯤꯕꯒꯦ?
"spoke to him, hardly,’ cried Jo, who was not sentimental","ꯃꯍꯥꯛꯀꯥ ꯋꯥꯔꯤ ꯁꯥꯅꯈꯤ, ꯌꯥꯝꯅꯥ ꯋꯥꯅꯥ,’ ꯍꯥꯌꯅꯥ ꯁꯦꯟꯇꯤꯃꯦꯟꯇꯜ ꯑꯣꯏꯗꯕꯥ ꯖꯣꯅꯥ ꯀꯞꯅꯥ ꯍꯥꯌꯔꯀꯏ"
"‘I saw him at the party, and what you tell shows that he knows","‘ꯑꯩꯍꯥꯛꯅꯥ ꯃꯍꯥꯀꯄꯨ ꯄꯥꯔꯇꯤꯗꯥ ꯎꯈꯤ, ꯑꯃꯁꯨꯡ ꯅꯈꯣꯌꯅꯥ ꯍꯥꯌꯔꯤꯕꯥ ꯑꯗꯨꯅꯥ ꯃꯍꯥꯛꯅꯥ ꯈꯉꯏ ꯍꯥꯌꯕꯥ ꯎꯠꯂꯤ"
how to behave. That was a nice little speech about the medicine,ꯃꯇꯧ ꯀꯔꯝꯅꯥ ꯂꯃꯆꯠ ꯁꯥꯖꯠ ꯆꯠꯀꯗꯒꯦ꯫
Mother sent him.’,ꯃꯃꯥꯅꯥ ꯃꯍꯥꯀꯄꯨ ꯊꯥꯔꯀꯈꯤ꯫’
"‘He meant the blanc mange, I suppose.’ ‘How stupid you are,","‘ꯃꯍꯥꯛꯅꯥ ꯕ꯭ꯂꯥꯉ꯭ꯛ ꯃꯥꯉ꯭ꯒꯦ ꯍꯥꯌꯕꯅꯤ, ꯑꯩꯅꯥ ꯈꯜꯂꯤ꯫’ ‘ꯀꯌꯥꯗꯥ ꯁ꯭ꯇꯨꯄꯤꯗ ꯑꯣꯏꯔꯤꯕꯅꯣ, ꯅꯍꯥꯛꯅꯥ,"
"child! He meant you, of course.’",ꯑꯉꯥꯡ!
‘Did he?’ And Jo opened her eyes as if it had never occurred to,‘ꯑꯩ?’ ꯑꯗꯨꯒꯥ ꯖꯣꯅꯥ ꯃꯍꯥꯛꯀꯤ ꯃꯃꯤꯠ ꯑꯗꯨ ꯀꯩꯗꯧꯅꯨꯡꯗꯥ ꯊꯣꯀꯈꯤꯗꯕꯥ ꯃꯑꯣꯡꯗꯥ ꯍꯥꯡꯗꯣꯀꯈꯤ
her before,ꯃꯍꯥꯛꯀꯤ ꯃꯃꯥꯡꯗꯥ .
‘I never saw such a girl! You don’t know a compliment when you,‘ꯑꯩꯍꯥꯛ ꯑꯁꯤꯒꯨꯝꯕꯥ ꯅꯨꯄꯤꯃꯆꯥ ꯑꯁꯤꯕꯨ ꯀꯩꯗꯧꯉꯩꯗꯁꯨ ꯎꯈꯤꯗꯦ!
"get it,’ said Meg, with the air of a young lady who knew all","ꯒꯦꯠ ꯏꯠ,’ ꯍꯥꯌꯅꯥ ꯃꯦꯒꯅꯥ ꯍꯥꯌꯈꯤ, ꯄꯨꯝꯅꯃꯛ ꯈꯉꯕꯥ ꯅꯍꯥ ꯑꯣꯏꯔꯤꯕꯥ ꯅꯨꯄꯤ ꯑꯃꯒꯤ ꯅꯨꯡꯁꯤꯠꯀꯥ ꯂꯣꯌꯅꯅꯥ"
about the matter,ꯋꯥꯐꯝ ꯑꯁꯤꯒꯤ ꯃꯇꯥꯡꯗꯥ .
"‘I think they are great nonsense, and I’ll thank you not to be silly","‘ꯑꯩꯍꯥꯛꯅꯥ ꯈꯜꯂꯤ ꯃꯈꯣꯌ ꯑꯁꯤ ꯑꯆꯧꯕꯥ ꯋꯥꯐꯝ ꯑꯃꯅꯤ, ꯑꯃꯁꯨꯡ ꯑꯩꯅꯥ ꯅꯈꯣꯌꯕꯨ ꯁꯤꯂꯤ ."
"and spoil my fun. Laurie’s a nice boy and I like him, and I won’t",ꯑꯃꯁꯨꯡ ꯑꯩꯒꯤ ꯅꯨꯡꯉꯥꯏꯕꯥ ꯑꯗꯨ ꯁꯣꯀꯎ꯫
have any sentimental stuff about compliments and such,ꯀꯝꯞꯂꯤꯃꯦꯟꯇꯁꯤꯡ ꯑꯃꯁꯨꯡ ꯑꯁꯤꯒꯨꯝꯕꯥ ꯃꯈꯂꯒꯤ ꯋꯥꯐꯃꯁꯤꯡꯒꯤ ꯃꯇꯥꯡꯗꯥ ꯁꯦꯟꯇꯤꯃꯦꯟꯇꯜ ꯑꯣꯏꯕꯥ ꯋꯥꯐꯝ ꯑꯃꯠꯇꯥ ꯂꯩꯔꯣꯏꯗꯕꯅꯤ꯫
rubbish. We’ll all be good to him because he hasn’t got any,ꯀꯥꯟꯅꯗꯕ.
"mother, and he may come over and see us, mayn’t he,","ꯃꯃꯥ, ꯑꯃꯁꯨꯡ ꯃꯍꯥꯛꯅꯥ ꯑꯩꯈꯣꯌꯕꯨ ꯎꯔꯒꯥ ꯑꯩꯈꯣꯌꯕꯨ ꯎꯕꯥ ꯐꯪꯒꯅꯤ, ꯃꯍꯥꯀꯁꯨ, ꯃꯍꯥꯛ꯫"
Marmee?’,ꯃꯥꯔꯃꯤ?’ ꯍꯥꯌꯅꯥ ꯐꯣꯉꯗꯣꯀꯈꯤ꯫
99,꯹꯹ ꯑꯃꯁꯨꯡ ꯑꯦꯟ.
"‘Yes, Jo, your little friend is very welcome, and I hope Meg will","‘ꯍꯣꯌ, ꯖꯣ, ꯅꯍꯥꯛꯀꯤ ꯏꯆꯥꯅꯨꯄꯤ ꯑꯁꯤ ꯌꯥꯝꯅꯥ ꯇꯔꯥꯝꯅꯥ ꯑꯣꯀꯆꯔꯤ, ꯑꯃꯁꯨꯡ ꯑꯩꯅꯥ ꯑꯥꯁꯥ ꯇꯧꯏ ꯃꯗꯨꯗꯤ ꯃꯦꯒ"
remember that children should be children as long as they can.’,ꯑꯉꯥꯡꯁꯤꯡꯅꯥ ꯌꯥꯔꯤꯕꯃꯈꯩ ꯑꯉꯥꯡꯁꯤꯡ ꯑꯣꯏꯒꯗꯕꯅꯤ ꯍꯥꯌꯕꯁꯤ ꯅꯤꯡꯁꯤꯡꯕꯤꯌꯨ꯫’
"‘I don’t call myself a child, and I’m not in my teens yet,’","‘ꯑꯩꯍꯥꯛ ꯏꯁꯥꯕꯨ ꯑꯉꯥꯡ ꯑꯃꯥ ꯑꯣꯏꯅꯥ ꯀꯧꯗꯦ, ꯑꯃꯁꯨꯡ ꯑꯩꯍꯥꯛ ꯍꯧꯖꯤꯛ ꯐꯥꯑꯣꯕꯥ ꯇꯤꯅꯕꯤꯔꯤꯕꯅꯤ’꯫"
"observed Amy. ‘What do you say, Beth?’",ꯑꯣꯕꯖꯥꯔꯚ ꯇꯧꯔꯕꯥ ꯑꯦꯃꯤ꯫
"‘I was thinking about our ‘PILGRIM’S PROGRESS’,’ answered",‘ꯑꯩꯍꯥꯛ ꯑꯩꯈꯣꯌꯒꯤ ‘ꯄꯤꯂꯒ꯭ꯔꯤꯃꯒꯤ ꯄ꯭ꯔꯣꯒ꯭ꯔꯦꯁ’ꯒꯤ ꯃꯇꯥꯡꯗꯥ ꯈꯅꯈꯤꯕꯅꯤ’ ꯍꯥꯌꯅꯥ ꯄꯥꯎꯈꯨꯝ ꯄꯤꯈꯤ
"Beth, who had not heard a word. ‘How we got out of the Slough",ꯋꯥꯍꯩ ꯑꯃꯠꯇꯥ ꯇꯥꯈꯤꯗꯕꯥ ꯕꯦꯊ꯫
"and through the Wicket Gate by resolving to be good, and up","ꯑꯃꯁꯨꯡ ꯑꯐꯕꯥ ꯑꯣꯏꯅꯕꯥ ꯔꯤꯖꯣꯂꯕ ꯇꯧꯗꯨꯅꯥ ꯎꯏꯀꯦꯠ ꯒꯦꯠ ꯑꯗꯨꯒꯤ ꯈꯨꯠꯊꯥꯡꯗꯥ, ꯑꯃꯁꯨꯡ ꯃꯊꯛꯇꯥ ."
"the steep hill by trying, and that maybe the house over there,","ꯍꯣꯠꯅꯗꯨꯅꯥ ꯁ꯭ꯇꯤꯞ ꯍꯤꯜ, ꯑꯃꯁꯨꯡ ꯃꯐꯝ ꯑꯗꯨꯗꯥ ꯂꯩꯔꯤꯕꯥ ꯌꯨꯝ ꯑꯗꯨ ꯑꯣꯏꯔꯕꯁꯨ, ."
"full of splendid things, is going to be our Palace Beautiful.’","ꯑꯉꯀꯄꯥ ꯄꯣꯠꯁꯀꯁꯤꯡꯅꯥ ꯊꯜꯂꯕꯥ, ꯑꯩꯈꯣꯌꯒꯤ ꯔꯥꯖꯃꯍꯜ ꯐꯖꯕꯥ ꯑꯣꯏꯔꯛꯀꯅꯤ꯫’"
"‘We have got to get by the lions first,’ said Jo, as if she rather","‘ꯑꯩꯈꯣꯌꯅꯥ ꯑꯍꯥꯅꯕꯥ ꯑꯣꯏꯅꯥ ꯂꯥꯌꯔꯕꯁꯤꯡꯒꯤ ꯃꯅꯥꯛꯇꯥ ꯂꯥꯀꯄꯥ ꯇꯥꯕꯅꯤ’ ꯍꯥꯌꯅꯥ ꯖꯣꯅꯥ ꯍꯥꯌꯈꯤ, ꯃꯍꯥꯛꯅꯥ ꯃꯗꯨꯒꯤ ꯃꯍꯨꯠꯇꯥ ."
liked the prospect,ꯄ꯭ꯔꯣꯁ꯭ꯄꯦꯛꯇ ꯑꯗꯨ ꯄꯥꯝꯅꯈꯤ꯫
100,꯱꯰꯰ꯗꯥ ꯂꯩꯕꯥ꯫
C H A P T E R VI,ꯁꯤ ꯑꯩꯆ ꯑꯦ ꯄꯤ ꯇꯤ ꯏ ꯑꯥꯔ ꯚꯤ .
"The big house did prove a Palace Beautiful, though it took some","ꯑꯆꯧꯕꯥ ꯌꯨꯝ ꯑꯁꯤꯅꯥ ꯐꯖꯔꯕꯥ ꯔꯥꯖꯀꯣꯠ ꯑꯃꯥ ꯄ꯭ꯔꯃꯥꯟ ꯇꯧꯈꯤ, ꯑꯗꯨꯕꯨ ꯃꯁꯤꯗꯥ ꯈꯔꯥ ꯆꯪꯈꯤ ."
